Trading_Date,Time,DJIA,S&P 500,NASDAQ Composite,,,,,,,,,,,,,,,,,,NASDAQ_Composite_24h_Change_pct
3/1/2025,11:30:00,42636.60938,5925.089844,19532.53125,,,,,,,,,,,,,,,,,,-0.2026
3/1/2025,12:30:00,42716.28125,5937.799805,19585.7168,,,,,,,,,,,,,,,,,,0.0024
3/1/2025,13:30:00,42734.41016,5944.140137,19616.4707,,,,,,,,,,,,,,,,,,0.2089
3/1/2025,14:30:00,42737.53906,5943.149902,19613.80273,,,,,,,,,,,,,,,,,,0.3567
3/1/2025,15:30:00,42730.23047,5941.879883,19620.41016,,,,,,,,,,,,,,,,,,0.7022
3/1/2025,16:00:00,42732.12891,5942.470215,19621.67969,,,,,,,,,,,,,,,,,,0.6922
6/1/2025,9:30:00,42996.76172,6012.379883,19979.17969,,,,,,,,,,,,,,,,,,2.3584
6/1/2025,10:30:00,43052.14063,6018.77002,19998.30469,,,,,,,,,,,,,,,,,,3.0847
6/1/2025,11:30:00,43021.39844,6009.629883,19949.12109,,,,,,,,,,,,,,,,,,3.0321
6/1/2025,12:30:00,42892.19922,5997.129883,19912.54688,,,,,,,,,,,,,,,,,,3.0559
6/1/2025,13:30:00,42763.53906,5977.080078,19842.26758,,,,,,,,,,,,,,,,,,2.8008
6/1/2025,14:30:00,42691.44922,5973.990234,19851.11914,,,,,,,,,,,,,,,,,,2.3438
6/1/2025,15:30:00,42714.21875,5976.5,19870,,,,,,,,,,,,,,,,,,2.8723
6/1/2025,16:00:00,42706.55859,5975.379883,19864.98047,,,,,,,,,,,,,,,,,,2.8699
7/1/2025,9:30:00,42791.98047,5959.350098,19698.7207,,,,,,,,,,,,,,,,,,1.6018
7/1/2025,10:30:00,42734.23047,5954.259766,19675.77148,,,,,,,,,,,,,,,,,,1.4971
7/1/2025,11:30:00,42641.98047,5929.200195,19558.96289,,,,,,,,,,,,,,,,,,1.5242
7/1/2025,12:30:00,42703.26172,5945.75,19635.01367,,,,,,,,,,,,,,,,,,2.3757
